Lähdekansio;Tiedostonimi;Tunniste;Koko (KB);Luotu;Muokattu;Koko Tiedostopolku
Kesko vastaus 3.2.2026;2025-07-13_16-12_Fox_Request for official response regarding Audi vehic.eml;.eml;37.5;2026-03-23 13:41:16;2026-03-23 13:47:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-13_16-12_Fox_Request for official response regarding Audi vehic.eml
Kesko vastaus 3.2.2026;2025-07-14_11-05_Par_VS Re VS VS Osoite Markus Kaprio.eml;.eml;21.42;2026-03-23 13:42:56;2026-03-23 13:43:08;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-14_11-05_Par_VS Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-14_12-00_Par_Re VS VS Osoite Markus Kaprio.eml;.eml;2.2;2026-03-23 13:44:33;2026-03-23 13:44:55;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-14_12-00_Par_Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-14_12-08_Par_Re VS VS Osoite Markus Kaprio.eml;.eml;2.44;2026-03-23 13:44:22;2026-03-23 13:45:26;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-14_12-08_Par_Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-14_13-05_Par_Fwd Re VS VS Osoite Markus Kaprio.eml;.eml;2.46;2026-03-23 13:44:22;2026-03-23 13:44:23;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-14_13-05_Par_Fwd Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-18_10-06_Par_Re VS Re VS VS Osoite Markus Kaprio.eml;.eml;5.11;2026-03-23 13:44:22;2026-03-23 13:44:22;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-18_10-06_Par_Re VS Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-18_11-12_Par_D1468332025 Lisäselvitys  Kolmas vaihteistorikko j.eml;.eml;160.1;2026-03-23 13:44:22;2026-03-23 13:44:22;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-18_11-12_Par_D1468332025 Lisäselvitys  Kolmas vaihteistorikko j.eml
Kesko vastaus 3.2.2026;2025-07-18_11-56_Par_Re VS VS Re VS VS Osoite Markus Kaprio.eml;.eml;7.37;2026-03-23 13:44:22;2026-03-23 13:44:22;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-18_11-56_Par_Re VS VS Re VS VS Osoite Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-07-18_12-45_Par_D1468332025 Lisäselvitys Kapriolta  Korjauskustann.eml;.eml;332.33;2026-03-23 13:44:22;2026-03-23 13:45:26;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-18_12-45_Par_D1468332025 Lisäselvitys Kapriolta  Korjauskustann.eml
Kesko vastaus 3.2.2026;2025-07-22_10-19_Par_Tiedoksi Jorma Rauhalalle  Asiakasreklamaation epä.eml;.eml;1368.0;2026-03-23 13:44:33;2026-03-23 13:44:51;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-22_10-19_Par_Tiedoksi Jorma Rauhalalle  Asiakasreklamaation epä.eml
Kesko vastaus 3.2.2026;2025-07-22_12-50_Fox_Viesti Pääjohtaja Jorma Rauhalalle  Asiakasreklama.eml;.eml;2227.2;2026-03-23 13:42:43;2026-03-23 13:43:12;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-07-22_12-50_Fox_Viesti Pääjohtaja Jorma Rauhalalle  Asiakasreklama.eml
Kesko vastaus 3.2.2026;2025-08-04_16-11_Fox_Kesko Oyj Asiakkaan vakava reklamaatio Pääjohtaja .eml;.eml;3372.78;2026-03-23 13:41:16;2026-03-23 13:47:16;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-04_16-11_Fox_Kesko Oyj Asiakkaan vakava reklamaatio Pääjohtaja .eml
Kesko vastaus 3.2.2026;2025-08-07_12-24_Fox_Viestini K-Auto Oylle  Buy-Back-neuvottelupyyntö j.eml;.eml;1765.17;2026-03-23 13:41:17;2026-03-23 13:47:11;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-07_12-24_Fox_Viestini K-Auto Oylle  Buy-Back-neuvottelupyyntö j.eml
Kesko vastaus 3.2.2026;2025-08-10_08-24_Par_Re D1468332025Lisäselvitys  Kolmas vaihteistorikko.eml;.eml;24.05;2026-03-23 13:44:22;2026-03-23 13:45:26;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-10_08-24_Par_Re D1468332025Lisäselvitys  Kolmas vaihteistorikko.eml
Kesko vastaus 3.2.2026;2025-08-12_18-40_Fox_Re Vastaus viestiisi K-Tunnus 4171009 Viestin tunn.eml;.eml;17.54;2026-03-23 13:41:17;2026-03-23 13:47:11;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-12_18-40_Fox_Re Vastaus viestiisi K-Tunnus 4171009 Viestin tunn.eml
Kesko vastaus 3.2.2026;2025-08-12_19-54_Fox_Turvallisuusuhka  RZS-139 Audi Q7 e-tron  kiireell.eml;.eml;16.85;2026-03-23 13:41:17;2026-03-23 13:47:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-12_19-54_Fox_Turvallisuusuhka  RZS-139 Audi Q7 e-tron  kiireell.eml
Kesko vastaus 3.2.2026;2025-08-13_10-41_Fox_Fwd Turvallisuusuhka  RZS-139 Audi Q7 e-tron  kiir.eml;.eml;18.88;2026-03-23 13:41:17;2026-03-23 13:47:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-13_10-41_Fox_Fwd Turvallisuusuhka  RZS-139 Audi Q7 e-tron  kiir.eml
Kesko vastaus 3.2.2026;2025-08-13_17-33_Fox_Vaarallisen ajoneuvon pakkosiirto  RZS-139 Audi Q7.eml;.eml;9.64;2026-03-23 13:41:17;2026-03-23 13:47:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-13_17-33_Fox_Vaarallisen ajoneuvon pakkosiirto  RZS-139 Audi Q7.eml
Kesko vastaus 3.2.2026;2025-08-13_18-27_Par_HÄTÄTIEDOTE  VÄLITÖN PALOTURVALLISUUSUHKA.eml;.eml;60.01;2026-03-23 13:44:22;2026-03-23 13:45:25;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-13_18-27_Par_HÄTÄTIEDOTE  VÄLITÖN PALOTURVALLISUUSUHKA.eml
Kesko vastaus 3.2.2026;2025-08-13_19-52_Fox_HENGENVAARA JA YMPÄRISTÖRISKI  Syväpurkautunut lit.eml;.eml;61.12;2026-03-23 13:41:17;2026-03-23 13:47:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-13_19-52_Fox_HENGENVAARA JA YMPÄRISTÖRISKI  Syväpurkautunut lit.eml
Kesko vastaus 3.2.2026;2025-08-14_14-39_Fox_ VAARATIEDOTE  HOX.eml;.eml;18.04;2026-03-23 13:41:17;2026-03-23 13:47:10;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-14_14-39_Fox_ VAARATIEDOTE  HOX.eml
Kesko vastaus 3.2.2026;2025-08-17_13-33_Fox_AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ramis .eml;.eml;3975.35;2026-03-23 13:41:17;2026-03-23 13:46:57;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-17_13-33_Fox_AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ramis .eml
Kesko vastaus 3.2.2026;2025-08-18_10-50_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml;.eml;3979.6;2026-03-23 13:41:17;2026-03-23 13:46:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-18_10-50_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml
Kesko vastaus 3.2.2026;2025-08-18_10-56_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml;.eml;3983.33;2026-03-23 13:41:18;2026-03-23 13:46:42;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-18_10-56_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml
Kesko vastaus 3.2.2026;2025-08-22_12-59_Par_Soittopyyntö K-Autoon.eml;.eml;53.93;2026-03-23 13:42:56;2026-03-23 13:43:08;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-22_12-59_Par_Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-08-22_13-54_Par_Re Soittopyyntö K-Autoon.eml;.eml;66.31;2026-03-23 13:44:22;2026-03-23 13:45:25;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-22_13-54_Par_Re Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-08-25_11-23_Fox_Ramis Coffeen vastaus.eml;.eml;1216.74;2026-03-23 13:40:13;2026-03-23 13:40:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-25_11-23_Fox_Ramis Coffeen vastaus.eml
Kesko vastaus 3.2.2026;2025-08-25_21-03_Fox_Re Ramis Coffeen vastaus.eml;.eml;5.48;2026-03-23 13:41:19;2026-03-23 13:41:45;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-25_21-03_Fox_Re Ramis Coffeen vastaus.eml
Kesko vastaus 3.2.2026;2025-08-26_09-56_Fox_Nimetön.eml;.eml;21.39;2026-03-23 13:42:43;2026-03-23 13:42:45;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-26_09-56_Fox_Nimetön.eml
Kesko vastaus 3.2.2026;2025-08-26_11-57_Fox_Re Ramis Coffeen vastaus.eml;.eml;174.85;2026-03-23 13:41:19;2026-03-23 13:41:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-26_11-57_Fox_Re Ramis Coffeen vastaus.eml
Kesko vastaus 3.2.2026;2025-08-31_16-17_Fox_Re Kiitos kun verkostoiduit kanssamme.eml;.eml;24.27;2026-03-23 13:41:19;2026-03-23 13:41:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-08-31_16-17_Fox_Re Kiitos kun verkostoiduit kanssamme.eml
Kesko vastaus 3.2.2026;2025-09-02_17-21_Fox_Santander rikkoo lakia toistamiseen..eml;.eml;27.94;2026-03-23 13:41:19;2026-03-23 13:41:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-02_17-21_Fox_Santander rikkoo lakia toistamiseen..eml
Kesko vastaus 3.2.2026;2025-09-04_13-06_Par_D1468332025 LisäselvityspyyntöTÄYDENNYS.eml;.eml;5.06;2026-03-23 13:42:56;2026-03-23 13:43:08;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-04_13-06_Par_D1468332025 LisäselvityspyyntöTÄYDENNYS.eml
Kesko vastaus 3.2.2026;2025-09-04_14-11_Par_Re D1468332025 LisäselvityspyyntöTÄYDENNYS.eml;.eml;2420.64;2026-03-23 13:44:22;2026-03-23 13:45:24;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-04_14-11_Par_Re D1468332025 LisäselvityspyyntöTÄYDENNYS.eml
Kesko vastaus 3.2.2026;2025-09-05_13-48_Fox_Audi Q7 e-Tron 99 000  takuukorjauksia mutta auto .eml;.eml;2011.3;2026-03-23 13:41:19;2026-03-23 13:41:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-05_13-48_Fox_Audi Q7 e-Tron 99 000  takuukorjauksia mutta auto .eml
Kesko vastaus 3.2.2026;2025-09-08_04-58_Fox_Audi Q7 e-tron  vakava asiakas- ja vastuuasia K-Au.eml;.eml;52.54;2026-03-23 13:41:19;2026-03-23 13:41:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-08_04-58_Fox_Audi Q7 e-tron  vakava asiakas- ja vastuuasia K-Au.eml
Kesko vastaus 3.2.2026;2025-09-08_13-47_Fox_Vahvistus toimeksiannosta.eml;.eml;26.28;2026-03-23 13:40:13;2026-03-23 13:40:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-08_13-47_Fox_Vahvistus toimeksiannosta.eml
Kesko vastaus 3.2.2026;2025-09-08_15-27_Par_Re D1468332025 LisäselvityspyyntöTÄYDENNYS  UUSI T.eml;.eml;5.23;2026-03-23 13:44:22;2026-03-23 13:45:24;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-08_15-27_Par_Re D1468332025 LisäselvityspyyntöTÄYDENNYS  UUSI T.eml
Kesko vastaus 3.2.2026;2025-09-09_17-13_Fox_Audi-Case.eml;.eml;2185.79;2026-03-23 13:40:15;2026-03-23 13:51:21;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-09_17-13_Fox_Audi-Case.eml
Kesko vastaus 3.2.2026;2025-09-10_17-13_Fox_Re Final Clarification of Your Concern.eml;.eml;17.64;2026-03-23 13:41:20;2026-03-23 13:41:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-10_17-13_Fox_Re Final Clarification of Your Concern.eml
Kesko vastaus 3.2.2026;2025-09-12_16-08_Par_VS Soittopyyntö K-Autoon.eml;.eml;125.9;2026-03-23 13:42:56;2026-03-23 13:43:09;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-12_16-08_Par_VS Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-09-12_16-30_Par_Automaattinen vastaus VS Soittopyyntö K-Autoon.eml;.eml;19.08;2026-03-23 13:42:56;2026-03-23 13:43:09;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-12_16-30_Par_Automaattinen vastaus VS Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-09-12_16-30_Par_Re VS Soittopyyntö K-Autoon.eml;.eml;74.43;2026-03-23 13:44:22;2026-03-23 13:45:24;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-12_16-30_Par_Re VS Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-09-15_14-59_Fox_Re Vahvistus toimeksiannosta  Kaprio - Karvonen.eml;.eml;1257.94;2026-03-23 13:40:13;2026-03-23 13:40:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_14-59_Fox_Re Vahvistus toimeksiannosta  Kaprio - Karvonen.eml
Kesko vastaus 3.2.2026;2025-09-15_15-13_Par_Fwd VS Soittopyyntö K-Autoon.eml;.eml;10.07;2026-03-23 13:44:34;2026-03-23 13:44:47;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-13_Par_Fwd VS Soittopyyntö K-Autoon.eml
Kesko vastaus 3.2.2026;2025-09-15_15-18_Par_Fwd Re VS Soittopyyntö K-Autoon  Kaprio - Karvonen.eml;.eml;11.28;2026-03-23 13:44:22;2026-03-23 13:45:24;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-18_Par_Fwd Re VS Soittopyyntö K-Autoon  Kaprio - Karvonen.eml
Kesko vastaus 3.2.2026;2025-09-15_15-20_Par_Fwd HÄTÄTIEDOTE  VÄLITÖN PALOTURVALLISUUSUHKA   Ka.eml;.eml;3.65;2026-03-23 13:44:22;2026-03-23 13:45:23;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-20_Par_Fwd HÄTÄTIEDOTE  VÄLITÖN PALOTURVALLISUUSUHKA   Ka.eml
Kesko vastaus 3.2.2026;2025-09-15_15-21_Par_Fwd D1468332025 Lisäselvitys Kapriolta  Korjauskus.eml;.eml;333.0;2026-03-23 13:44:22;2026-03-23 13:45:23;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-21_Par_Fwd D1468332025 Lisäselvitys Kapriolta  Korjauskus.eml
Kesko vastaus 3.2.2026;2025-09-15_15-27_Par_Fwd D1468332025  erillinen TIEDOKSIANTO Kuluttajar.eml;.eml;1374.61;2026-03-23 13:44:22;2026-03-23 13:45:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-27_Par_Fwd D1468332025  erillinen TIEDOKSIANTO Kuluttajar.eml
Kesko vastaus 3.2.2026;2025-09-15_15-29_Par_Fwd Re Asia D1468332025  Lisäliite jossa virallise.eml;.eml;1425.17;2026-03-23 13:44:23;2026-03-23 13:45:20;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-29_Par_Fwd Re Asia D1468332025  Lisäliite jossa virallise.eml
Kesko vastaus 3.2.2026;2025-09-15_15-35_Par_Fwd Ajoneuvon siirtopyyntö.eml;.eml;36.19;2026-03-23 13:44:23;2026-03-23 13:45:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-35_Par_Fwd Ajoneuvon siirtopyyntö.eml
Kesko vastaus 3.2.2026;2025-09-15_15-43_Par_Fwd RZS-139.eml;.eml;5.18;2026-03-23 13:44:23;2026-03-23 13:45:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-43_Par_Fwd RZS-139.eml
Kesko vastaus 3.2.2026;2025-09-15_15-47_Par_Fwd Re Ihr Audi Q7 e-tron  Markus Kaprio.eml;.eml;647.4;2026-03-23 13:44:23;2026-03-23 13:45:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-47_Par_Fwd Re Ihr Audi Q7 e-tron  Markus Kaprio.eml
Kesko vastaus 3.2.2026;2025-09-15_15-48_Par_Fwd Kesko Oyj Harri Spolanderin viralliset komment.eml;.eml;261.83;2026-03-23 13:44:23;2026-03-23 13:45:19;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-48_Par_Fwd Kesko Oyj Harri Spolanderin viralliset komment.eml
Kesko vastaus 3.2.2026;2025-09-15_15-50_Par_Fwd Markus Kaprio - Täydennyspyyntö 12 materiaalil.eml;.eml;15900.3;2026-03-23 13:44:24;2026-03-23 13:45:17;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-50_Par_Fwd Markus Kaprio - Täydennyspyyntö 12 materiaalil.eml
Kesko vastaus 3.2.2026;2025-09-15_15-51_Par_Fwd Re Fwd Tietopyyntö Pörhön Autoliike Oy 27.2.20.eml;.eml;48.23;2026-03-23 13:44:25;2026-03-23 13:45:16;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-51_Par_Fwd Re Fwd Tietopyyntö Pörhön Autoliike Oy 27.2.20.eml
Kesko vastaus 3.2.2026;2025-09-15_15-54_Par_Fwd Audi Q7 e-tron -tapauksen oikeudellinen tilann.eml;.eml;4656.79;2026-03-23 13:44:25;2026-03-23 13:45:16;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-54_Par_Fwd Audi Q7 e-tron -tapauksen oikeudellinen tilann.eml
Kesko vastaus 3.2.2026;2025-09-15_15-56_Par_Fwd Tärkeä uusi tieto Markus  Heidi Q7 e-Tron.eml;.eml;2.82;2026-03-23 13:44:26;2026-03-23 13:45:15;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-56_Par_Fwd Tärkeä uusi tieto Markus  Heidi Q7 e-Tron.eml
Kesko vastaus 3.2.2026;2025-09-15_15-58_Par_Fwd Valitus Johanna Alin toiminnasta  K-Auto Oy Co.eml;.eml;16424.31;2026-03-23 13:44:27;2026-03-23 13:45:14;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_15-58_Par_Fwd Valitus Johanna Alin toiminnasta  K-Auto Oy Co.eml
Kesko vastaus 3.2.2026;2025-09-15_16-01_Par_Fwd Re Reklamaatio.eml;.eml;7.08;2026-03-23 13:44:28;2026-03-23 13:45:14;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-01_Par_Fwd Re Reklamaatio.eml
Kesko vastaus 3.2.2026;2025-09-15_16-03_Par_Fwd Urgent Update    Audi Q7 e-tron VIN WAUZZZ4M4J.eml;.eml;201.39;2026-03-23 13:44:29;2026-03-23 13:45:14;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-03_Par_Fwd Urgent Update    Audi Q7 e-tron VIN WAUZZZ4M4J.eml
Kesko vastaus 3.2.2026;2025-09-15_16-07_Par_Fwd Re Fwd Uusi viesti lomakkeesta Ota yhteyttä - .eml;.eml;8.81;2026-03-23 13:44:29;2026-03-23 13:45:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-07_Par_Fwd Re Fwd Uusi viesti lomakkeesta Ota yhteyttä - .eml
Kesko vastaus 3.2.2026;2025-09-15_16-10_Par_Fwd Reklamaatio Keminmaan Pörhön huollosta sekä la.eml;.eml;2031.72;2026-03-23 13:44:29;2026-03-23 13:45:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-10_Par_Fwd Reklamaatio Keminmaan Pörhön huollosta sekä la.eml
Kesko vastaus 3.2.2026;2025-09-15_16-34_Fox_Fwd Ramis Coffeen vastaus.eml;.eml;1212.88;2026-03-23 13:40:13;2026-03-23 13:40:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-34_Fox_Fwd Ramis Coffeen vastaus.eml
Kesko vastaus 3.2.2026;2025-09-15_16-41_Fox_Fwd Tiedoksi.eml;.eml;32.09;2026-03-23 13:41:20;2026-03-23 13:41:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-41_Fox_Fwd Tiedoksi.eml
Kesko vastaus 3.2.2026;2025-09-15_16-48_Par_Fwd Yhteydenottoosi liittyen CRM00016400108.eml;.eml;2.82;2026-03-23 13:44:29;2026-03-23 13:45:13;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-48_Par_Fwd Yhteydenottoosi liittyen CRM00016400108.eml
Kesko vastaus 3.2.2026;2025-09-15_16-50_Par_Fwd Yhteydenottonne CRM00071000216.eml;.eml;1.9;2026-03-23 13:44:29;2026-03-23 13:44:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-50_Par_Fwd Yhteydenottonne CRM00071000216.eml
Kesko vastaus 3.2.2026;2025-09-15_16-52_Par_Fwd Re Ilmoitus asian etenemisestä tietosuojavaltu.eml;.eml;8.07;2026-03-23 13:44:29;2026-03-23 13:44:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-52_Par_Fwd Re Ilmoitus asian etenemisestä tietosuojavaltu.eml
Kesko vastaus 3.2.2026;2025-09-15_16-54_Par_Fwd Tietopyyntö Pörhön Autoliike Oy 27.2.2025.eml;.eml;62.47;2026-03-23 13:44:29;2026-03-23 13:44:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_16-54_Par_Fwd Tietopyyntö Pörhön Autoliike Oy 27.2.2025.eml
Kesko vastaus 3.2.2026;2025-09-15_17-57_Par_Fwd Re VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;602.05;2026-03-23 13:44:29;2026-03-23 13:44:58;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_17-57_Par_Fwd Re VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2025-09-15_18-01_Par_Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml;.eml;23.92;2026-03-23 13:44:29;2026-03-23 13:44:57;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-15_18-01_Par_Fwd VS VS RZS-139  WAUZZZ4M4JD052978.eml
Kesko vastaus 3.2.2026;2025-09-17_14-13_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml;.eml;3983.69;2026-03-23 13:40:12;2026-03-23 13:41:03;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-17_14-13_Fox_Fwd AUDI Q7 e-tron RZS-139 Kaupanpurku-ilmoitus Ra.eml
Kesko vastaus 3.2.2026;2025-09-17_14-39_Fox_RZS-139 vakuutustiedot ja auton pitkät seisonta-aj.eml;.eml;4.81;2026-03-23 13:41:20;2026-03-23 13:41:44;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-17_14-39_Fox_RZS-139 vakuutustiedot ja auton pitkät seisonta-aj.eml
Kesko vastaus 3.2.2026;2025-09-17_14-41_Fox_Fwd RZS-139 vakuutustiedot ja auton pitkät seisont.eml;.eml;9.1;2026-03-23 13:41:20;2026-03-23 13:41:43;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-17_14-41_Fox_Fwd RZS-139 vakuutustiedot ja auton pitkät seisont.eml
Kesko vastaus 3.2.2026;2025-09-18_13-12_Fox_VS RZS-139 vakuutustiedot ja auton pitkät seisonta.eml;.eml;28.18;2026-03-23 13:40:13;2026-03-23 13:40:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-18_13-12_Fox_VS RZS-139 vakuutustiedot ja auton pitkät seisonta.eml
Kesko vastaus 3.2.2026;2025-09-18_16-46_Fox_Re VS RZS-139 vakuutustiedot ja auton pitkät seiso.eml;.eml;24.16;2026-03-23 13:41:20;2026-03-23 13:41:43;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-18_16-46_Fox_Re VS RZS-139 vakuutustiedot ja auton pitkät seiso.eml
Kesko vastaus 3.2.2026;2025-09-18_16-58_Fox_Fwd Re VS RZS-139 vakuutustiedot ja auton pitkät s.eml;.eml;26.78;2026-03-23 13:41:20;2026-03-23 13:41:43;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-18_16-58_Fox_Fwd Re VS RZS-139 vakuutustiedot ja auton pitkät s.eml
Kesko vastaus 3.2.2026;2025-09-22_08-03_Fox_VS VS RZS-139 vakuutustiedot ja auton pitkät seiso.eml;.eml;55.26;2026-03-23 13:40:13;2026-03-23 13:40:50;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Chronological_Logs\2025-09-22_08-03_Fox_VS VS RZS-139 vakuutustiedot ja auton pitkät seiso.eml
